epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.43,1.44152,1.05735,1.09913,0.65645,0.50179,0.54946,0.29876,1.42181,0.87854,1.07107,0.0700065,0.00333261,0.00333261
2,2437.54,1.42895,0.93107,1.0902,0.65048,0.49912,0.54622,0.29305,1.42223,0.87213,1.07835,0.0400042,0.00666363,0.00666363
3,3575.36,1.45972,0.96452,1.10884,0.65162,0.48052,0.53501,0.2838,1.43099,0.87727,1.08963,0.00999261,0.00998541,0.00998541
4,4705.05,1.46064,0.95891,1.11484,0.62728,0.50283,0.54856,0.29241,1.41432,0.85052,1.08168,0.00996881,0.00996881,0.00996881
5,5838.21,1.43841,0.92126,1.10231,0.67093,0.52724,0.57681,0.31233,1.40403,0.82581,1.0756,0.0099446,0.0099446,0.0099446
6,6967.2,1.42347,0.89993,1.09396,0.68148,0.54525,0.59789,0.32594,1.3948,0.80791,1.07084,0.00991353,0.00991353,0.00991353
7,8095.62,1.41336,0.88473,1.08825,0.69007,0.55935,0.60877,0.33274,1.39013,0.79687,1.0694,0.00987566,0.00987566,0.00987566
8,9224.17,1.40725,0.87254,1.0855,0.71014,0.55457,0.61524,0.3381,1.38239,0.78936,1.06298,0.00983105,0.00983105,0.00983105
9,10353.4,1.40057,0.86347,1.08196,0.70325,0.56947,0.62069,0.34254,1.38078,0.78014,1.06169,0.00977975,0.00977975,0.00977975
10,11483.9,1.39641,0.85757,1.07904,0.71977,0.56469,0.62776,0.34694,1.37678,0.77509,1.05845,0.00972186,0.00972186,0.00972186
11,12613.4,1.39123,0.84974,1.07621,0.70585,0.57827,0.63168,0.3521,1.37532,0.76781,1.05697,0.00965746,0.00965746,0.00965746
12,13741.7,1.38695,0.84433,1.07555,0.71306,0.58503,0.63735,0.35453,1.37305,0.76542,1.05659,0.00958664,0.00958664,0.00958664
13,14870.4,1.38497,0.84041,1.07225,0.70781,0.58611,0.63744,0.3554,1.37153,0.76221,1.05566,0.00950953,0.00950953,0.00950953
14,15998.9,1.38291,0.83526,1.07067,0.71622,0.58863,0.6421,0.35825,1.36991,0.76006,1.05404,0.00942623,0.00942623,0.00942623
