epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1255.23,1.44152,1.05755,1.09707,0.65314,0.49576,0.54461,0.29497,1.42625,0.89016,1.07749,0.0700071,0.00333255,0.00333255
2,2485.59,1.42498,0.92607,1.08913,0.65576,0.5014,0.54789,0.29521,1.42494,0.87395,1.07812,0.0400048,0.00666357,0.00666357
3,3708.12,1.45475,0.95795,1.10641,0.67516,0.47864,0.53388,0.28517,1.43914,0.88592,1.09592,0.0099932,0.00998534,0.00998534
4,4928.64,1.46078,0.95789,1.11364,0.65944,0.50576,0.54997,0.2944,1.41907,0.84907,1.08783,0.00996881,0.00996881,0.00996881
5,6150.13,1.43623,0.91853,1.10127,0.66234,0.53059,0.57857,0.31268,1.406,0.8256,1.078,0.0099446,0.0099446,0.0099446
6,7371.35,1.42172,0.89416,1.09266,0.68593,0.54381,0.59938,0.32527,1.39482,0.80739,1.07065,0.00991353,0.00991353,0.00991353
7,8592.54,1.40922,0.87796,1.08833,0.68514,0.55348,0.60672,0.33037,1.38956,0.79593,1.06698,0.00987566,0.00987566,0.00987566
8,9813.03,1.40326,0.86747,1.08444,0.70138,0.55742,0.61574,0.33822,1.38358,0.78664,1.06398,0.00983105,0.00983105,0.00983105
9,11033.5,1.39712,0.85854,1.08045,0.71326,0.56578,0.62272,0.3419,1.38121,0.77923,1.06218,0.00977975,0.00977975,0.00977975
10,12253.1,1.39759,0.85375,1.07922,0.708,0.57085,0.6262,0.34665,1.37926,0.77336,1.06095,0.00972186,0.00972186,0.00972186
11,13474.5,1.39056,0.84558,1.07571,0.72412,0.57526,0.63519,0.35246,1.37488,0.76898,1.05865,0.00965746,0.00965746,0.00965746
12,14694.2,1.38638,0.83928,1.07288,0.71466,0.58042,0.63635,0.35286,1.37349,0.7638,1.05645,0.00958664,0.00958664,0.00958664
13,15913.9,1.38448,0.8365,1.07114,0.71157,0.58783,0.63949,0.35638,1.37135,0.76051,1.05474,0.00950953,0.00950953,0.00950953
14,17133.7,1.38121,0.834,1.07079,0.71917,0.59154,0.64272,0.3578,1.37058,0.75763,1.05366,0.00942623,0.00942623,0.00942623
15,18353.7,1.3768,0.82782,1.06876,0.71764,0.59044,0.64497,0.36011,1.3694,0.75542,1.05295,0.00933688,0.00933688,0.00933688
16,19573.4,1.37676,0.82535,1.06681,0.72558,0.58469,0.64548,0.36107,1.36865,0.75379,1.05237,0.00924161,0.00924161,0.00924161
